Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120210831002830","2023-09-23 11:20:20","2023-10-05 00:00:00","2024-10-04 00:00:00","Renewed","Nadd Hessa","37950","37950","Free Hold","61.7","Unit","Flat","","Residential","","","IMG World Adventures","","1","","Selicon Star 2"
"0120210831003038","2023-09-23 11:03:59","2023-10-05 00:00:00","2024-10-04 00:00:00","Renewed","Nadd Hessa","37950","37950","Free Hold","61.7","Unit","Flat","","Residential","","","IMG World Adventures","","1","","Selicon Star 2"
"0120210831003332","2023-09-23 11:46:49","2023-10-05 00:00:00","2024-10-04 00:00:00","Renewed","Nadd Hessa","37950","37950","Free Hold","61.7","Unit","Flat","","Residential","","","IMG World Adventures","","1","","Selicon Star 2"
"0120210901001114","2023-09-23 11:17:51","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Eyal Nasser","46000","46000","Non Free Hold","62","Unit","Flat","","Residential","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120210901004912","2023-09-23 16:12:18","2023-09-18 00:00:00","2024-09-17 00:00:00","Renewed","Al Nahda First","40000","40000","Non Free Hold","100.61","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210902003167","2023-09-23 12:29:24","2023-09-03 00:00:00","2024-09-02 00:00:00","Renewed","Al Mararr","55475","55475","Non Free Hold","29.45","Unit","Shop","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120210904001756","2023-09-23 12:23:41","2023-10-05 00:00:00","2024-10-04 00:00:00","Renewed","Al Nahda First","45000","45000","Non Free Hold","1","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210905000727","2023-09-23 17:49:54","2023-09-06 00:00:00","2024-09-05 00:00:00","Renewed","Al Warsan First","41000","41000","Free Hold","68","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120210905000985","2023-09-23 12:51:12","2023-10-06 00:00:00","2024-10-05 00:00:00","Renewed","Jabal Ali First","46299","46299","Free Hold","77","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120210905001151","2023-09-23 12:27:43","2023-10-08 00:00:00","2024-10-07 00:00:00","Renewed","Muhaisanah Fourth","34500","34500","Non Free Hold","99.96","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210906005295","2023-09-23 19:45:51","2023-09-21 00:00:00","2024-09-20 00:00:00","Renewed","Al Mararr","44000","44000","Non Free Hold","27","Unit","Shop","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120210907000125","2023-09-23 12:29:19","2023-09-27 00:00:00","2024-09-26 00:00:00","Renewed","Business Bay","90300","90300","Non Free Hold","128.72","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120210907004275","2023-09-23 12:29:16","2023-10-10 00:00:00","2024-10-09 00:00:00","Renewed","Al Barsha First","50000","50000","Non Free Hold","79.83","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120210908002514","2023-09-23 12:29:12","2023-09-29 00:00:00","2024-09-28 00:00:00","Renewed","Nad Al Hamar","75000","75000","Free Hold","132.51","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210912003876","2023-09-23 10:08:58","2023-09-20 00:00:00","2024-09-19 00:00:00","Renewed","Al Yelayiss 1","91000","91000","Free Hold","228.55","Villa","Villa","3","Residential","","","Dubai Cycling Course","","1","","REEM - MIRA OASIS COMMUNITY"
"0120210913000166","2023-09-23 10:02:09","2023-09-16 00:00:00","2024-09-15 00:00:00","Renewed","Um Suqaim First","165375","165375","Non Free Hold","232.26","Villa","Complex Villas","","Residential","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","0","1","",""
"0120210915005012","2023-09-23 16:44:49","2023-09-25 00:00:00","2024-09-24 00:00:00","Renewed","Al Mararr","25000","25000","Non Free Hold","20.44","Unit","Studio ","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120210916000537","2023-09-23 12:30:42","2023-09-29 00:00:00","2024-09-28 00:00:00","Renewed","Muhaisanah Fourth","27600","27600","Non Free Hold","61.78","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210916003471","2023-09-23 11:59:20","2023-11-05 00:00:00","2024-11-04 00:00:00","Renewed","Jabal Ali First","58433","58433","Free Hold","105","Unit","Flat","","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120210919000022","2023-09-23 12:30:40","2023-10-06 00:00:00","2024-10-05 00:00:00","Renewed","Business Bay","130515","130515","Non Free Hold","187.64","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120210919005917","2023-09-23 10:58:13","2023-10-15 00:00:00","2024-10-14 00:00:00","Renewed","Eyal Nasser","42000","42000","Non Free Hold","1","Unit","Flat","","Residential","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120210920000526","2023-09-23 12:29:09","2023-10-05 00:00:00","2024-10-04 00:00:00","Renewed","Madinat Dubai Almelaheyah","66999.99","66999.99","Non Free Hold","121","Unit","Flat","","Residential","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120210920004031","2023-09-23 12:30:38","2023-09-21 00:00:00","2024-09-20 00:00:00","Renewed","Abu Hail","75600","75600","Non Free Hold","200.39","Villa","Villa","","Residential","Salah Al Din Metro Station","","Dubai International Airport","0","1","",""
"0120210921005713","2023-09-23 12:29:11","2023-10-05 00:00:00","2024-01-04 00:00:00","Renewed","Business Bay","15675","62700","Non Free Hold","90.06","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120210922003872","2023-09-23 17:48:43","2023-09-23 00:00:00","2024-09-22 00:00:00","Renewed","Marsa Dubai","88550","88550","Free Hold","116.91","Unit","Flat","","Residential","Marina Towers","Marina Mall","Burj Al Arab","","1","","TORCH TOWER"
"0120210923002621","2023-09-23 11:29:36","2023-10-31 00:00:00","2024-10-30 00:00:00","Renewed","Jabal Ali First","47518","47518","Free Hold","93","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120210923003178","2023-09-23 13:03:19","2023-10-31 00:00:00","2024-10-30 00:00:00","Renewed","Jabal Ali First","63525","63525","Free Hold","127","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120210925000245","2023-09-23 11:56:41","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Hebiah Fourth","29150","29150","Free Hold","30.81","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","THE SPIRIT"
"0120210926001319","2023-09-23 10:02:41","2023-11-01 00:00:00","2024-10-31 00:00:00","Renewed","Naif","32000","32000","Non Free Hold","1","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120210926001649","2023-09-23 17:30:06","2023-10-16 00:00:00","2024-10-15 00:00:00","Renewed","Lehbab First","15000","15000","Non Free Hold","17","Unit","Flat","","Residential","","","","","1","",""
"0120210929001007","2023-09-23 11:13:05","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Wadi Al Safa 5","50900","50900","Free Hold","122.4","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"0120210930002270","2023-09-23 18:04:05","2023-10-02 00:00:00","2024-10-01 00:00:00","Renewed","Al Warsan First","31000","31000","Free Hold","69","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120211002000565","2023-09-23 11:36:26","2023-10-05 00:00:00","2024-10-04 00:00:00","Renewed","Al Thanyah Fifth","56925","56925","Free Hold","70.98","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","","LAKESIDE RESIDENCE"
"0120211003000236","2023-09-23 12:30:38","2023-10-09 00:00:00","2024-10-08 00:00:00","Renewed","Al Karama","64469","64469","Non Free Hold","105.59","Unit","Flat","","Residential","Oud Metha Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120211003000269","2023-09-23 12:30:36","2023-10-14 00:00:00","2024-10-13 00:00:00","Renewed","Business Bay","130899","130899","Non Free Hold","197.49","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120211005003494","2023-09-23 16:03:57","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Madinat Hind 4","50000","50000","Free Hold","112.24","Villa","Villa","3","Residential","","","","","1","","DAMAC HILLS (2) - VARDON "
"0120211006001000","2023-09-23 12:30:34","2023-10-12 00:00:00","2024-10-11 00:00:00","Renewed","Business Bay","67620","67620","Non Free Hold","86.71","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120211007000142","2023-09-23 08:37:25","2023-02-07 00:00:00","2024-02-06 00:00:00","Renewed","Al Karama","60000","60000","Non Free Hold","106","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120211010003994","2023-09-23 12:32:01","2023-10-17 00:00:00","2024-10-16 00:00:00","Renewed","Jabal Ali First","39100","39100","Free Hold","81","Unit","Flat","","Residential","","","","","1","",""
"0120211010004295","2023-09-23 11:24:12","2023-10-10 00:00:00","2024-10-09 00:00:00","Renewed","Al Karama","30700","30700","Non Free Hold","34","Unit","Flat","","Residential","","","","","1","",""
"0120211011001782","2023-09-23 11:11:41","2023-10-15 00:00:00","2024-10-14 00:00:00","Renewed","Al Karama","30700","30700","Non Free Hold","34","Unit","Flat","","Residential","","","","","1","",""
"0120211011001941","2023-09-23 10:54:06","2023-10-15 00:00:00","2024-10-14 00:00:00","Renewed","Al Karama","43000","43000","Non Free Hold","84","Unit","Flat","","Residential","","","","","1","",""
"0120211011005614","2023-09-23 12:31:59","2023-10-18 00:00:00","2024-10-17 00:00:00","Renewed","Business Bay","98174","98174","Non Free Hold","134.48","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120211012002511","2023-09-23 12:00:43","2023-09-10 00:00:00","2024-09-09 00:00:00","Renewed","Al Bada","90000","90000","Non Free Hold","24","Unit","Shop","","Commercial","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120211013000111","2023-09-23 12:17:22","2023-10-23 00:00:00","2024-10-22 00:00:00","Renewed","Jabal Ali First","28600","28600","Free Hold","48","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120211013002466","2023-09-23 12:31:57","2023-10-20 00:00:00","2024-10-19 00:00:00","Renewed","Jabal Ali First","39100","39100","Free Hold","81","Unit","Flat","","Residential","","","","","1","",""
"0120211013005457","2023-09-23 12:31:56","2023-10-20 00:00:00","2024-10-19 00:00:00","Renewed","Al Rashidiya","39000","39000","Non Free Hold","59.83","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120211016000741","2023-09-23 11:06:48","2023-10-22 00:00:00","2024-10-21 00:00:00","Renewed","Al Warsan First","33000","33000","Free Hold","69","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120211017000722","2023-09-23 10:37:57","2023-10-20 00:00:00","2024-10-19 00:00:00","Renewed","Al Karama","43000","43000","Non Free Hold","69","Unit","Flat","","Residential","","","","","1","",""
"0120211017002123","2023-09-23 12:31:54","2023-10-21 00:00:00","2024-10-20 00:00:00","Renewed","Jabal Ali First","28750","28750","Free Hold","49","Unit","Flat","","Residential","","","","","1","",""
"0120211017003561","2023-09-23 09:04:24","2023-11-01 00:00:00","2024-10-31 00:00:00","Renewed","Al Barshaa South Third","29900","29900","Free Hold","55.14","Unit","Studio ","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","","1","",""
"0120211018000723","2023-09-23 13:02:30","2023-09-20 00:00:00","2024-09-19 00:00:00","Renewed","Al Sabkha","160000","160000","Non Free Hold","65.06","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120211019001581","2023-09-23 08:55:52","2023-10-20 00:00:00","2024-10-19 00:00:00","Renewed","Nadd Hessa","66150","66150","Free Hold","100.54","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"0120211026001893","2023-09-23 09:15:27","2023-11-01 00:00:00","2024-10-31 00:00:00","Renewed","Al Manara","220500","220500","Non Free Hold","432","Villa","Villa","","Residential","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"0120211031001552","2023-09-23 10:51:26","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Hor Al Anz","65000","65000","Non Free Hold","27.87","Unit","Shop","","Commercial","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120211109000698","2023-09-23 11:04:09","2023-11-11 00:00:00","2024-11-10 00:00:00","Renewed","Al Hebiah Fourth","60000","60000","Free Hold","96.75","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","THE DIAMOND"
"0120211122002989","2023-09-23 13:41:07","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Barsha South Fourth","65000","65000","Free Hold","123.12","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","PLAZA RESIDENCES"
"0120211128000625","2023-09-23 12:26:49","2022-12-15 00:00:00","2023-12-14 00:00:00","Renewed","Al Karama","50400","50400","Non Free Hold","33","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120211206004124","2023-09-23 14:13:06","2023-09-03 00:00:00","2024-09-02 00:00:00","Renewed","Al Warsan First","24000","24000","Free Hold","44","Unit","Studio ","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120211208002463","2023-09-23 12:43:43","2022-12-01 00:00:00","2023-11-30 00:00:00","Renewed","Al Jafliya","168000","168000","Non Free Hold","3674","Villa","Villa","","Residential","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"0120211208004804","2023-09-23 11:25:44","2023-09-16 00:00:00","2024-09-15 00:00:00","Renewed","Al Hebiah Fourth","46200","46200","Free Hold","74.47","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","THE SPIRIT"
"0120211220001075","2023-09-23 17:08:11","2023-10-16 00:00:00","2024-10-15 00:00:00","Renewed","Lehbab First","40000","40000","Non Free Hold","47","Unit","Shop","","Commercial","","","","","1","",""
"0120211223004659","2023-09-23 11:49:53","2023-09-22 00:00:00","2024-09-21 00:00:00","Renewed","Al Ras","299212.52","299212.52","Non Free Hold","111.19","Unit","Office","","Commercial","Al Ras Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120211226005885","2023-09-23 20:29:08","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Warsan First","30000","30000","Free Hold","68","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120211229002604","2023-09-23 09:48:13","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Qusais Industrial Third","130000","130000","Non Free Hold","202","Unit","Warehouse","","Commercial","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220128004786","2023-09-23 13:33:18","2023-04-02 00:00:00","2024-04-01 00:00:00","Renewed","Al Suq Al Kabeer","17000","17000","Non Free Hold","18.95","Unit","Flat","","Residential","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120220316003510","2023-09-23 12:31:53","2023-09-22 00:00:00","2024-03-21 00:00:00","Renewed","Madinat Dubai Almelaheyah","34500","69000","Non Free Hold","139.87","Unit","Flat","","Residential","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120220420003038","2023-09-23 12:05:46","2023-05-15 00:00:00","2024-05-14 00:00:00","Renewed","Al Barsha First","44000","44000","Non Free Hold","52.25","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120220423000825","2023-09-23 11:50:27","2023-08-31 00:00:00","2024-08-30 00:00:00","Renewed","Al Thanyah First","49612","49612","Free Hold","7432","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Burj Al Arab","","1","",""
"0120220509004927","2023-09-23 11:59:26","2023-05-10 00:00:00","2024-05-09 00:00:00","Renewed","Nadd Hessa","38104","38104","Free Hold","75","Unit","Flat","","Residential","","","IMG World Adventures","","1","","PALACIO"
"0120220510001917","2023-09-23 12:11:44","2023-06-01 00:00:00","2024-05-31 00:00:00","Renewed","Al Barsha First","42000","42000","Non Free Hold","59.86","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120220513002676","2023-09-23 13:24:24","2023-05-25 00:00:00","2024-05-23 00:00:00","Renewed","Al Warqa First","39600","39710.31","Non Free Hold","67","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220529000781","2023-09-23 13:24:06","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Warsan Fourth","26000","26000","Free Hold","35.1","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120220530000335","2023-09-23 14:34:22","2023-08-26 00:00:00","2023-11-07 00:00:00","Renewed","Nadd Hessa","8782.3","43560.21","Free Hold","79.23","Unit","Flat","","Residential","","","","","1","",""
"0120220604000360","2023-09-23 15:44:31","2023-07-10 00:00:00","2024-07-09 00:00:00","Renewed","Al-Cornich","57750","57750","Non Free Hold","71.62","Unit","Flat","","Residential","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120220608001219","2023-09-23 12:12:31","2023-09-03 00:00:00","2024-09-02 00:00:00","Renewed","Al Barsha South Fourth","46200","46200","Free Hold","81.36","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","",""
"0120220614001730","2023-09-23 12:20:21","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Barsha First","42000","42000","Non Free Hold","54.49","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120220616000801","2023-09-23 12:24:00","2023-06-20 00:00:00","2024-06-19 00:00:00","Renewed","Al Nahda First","39000","39000","Non Free Hold","74.51","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220620004166","2023-09-23 11:45:59","2023-09-14 00:00:00","2024-09-13 00:00:00","Renewed","Al Barsha South Fourth","46200","46200","Free Hold","85.54","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","",""
"0120220627001627","2023-09-23 13:12:05","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Nadd Hessa","45000","45000","Free Hold","68.49","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"0120220627005537","2023-09-23 13:32:38","2023-07-01 00:00:00","2024-06-29 00:00:00","Renewed","Al Warqa First","56000","56155.99","Non Free Hold","98","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220701000896","2023-09-23 13:17:54","2023-08-01 00:00:00","2024-07-30 00:00:00","Renewed","Al Baraha","21000","21056.6","Non Free Hold","19","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120220715002436","2023-09-23 13:21:18","2023-08-20 00:00:00","2024-08-19 00:00:00","Renewed","Nadd Hessa","45000","45000","Free Hold","68.49","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"0120220718003061","2023-09-23 16:15:31","2023-06-20 00:00:00","2024-06-19 00:00:00","Renewed","Al-Cornich","79500","79500","Non Free Hold","150.47","Unit","Flat","","Residential","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120220721004988","2023-09-23 10:14:30","2023-09-23 00:00:00","2024-09-22 00:00:00","Renewed","Hor Al Anz","40000","40000","Non Free Hold","45.58","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220725005853","2023-09-23 12:16:04","2023-09-05 00:00:00","2024-09-04 00:00:00","Renewed","Al Suq Al Kabeer","28000","28000","Non Free Hold","10","Unit","Flat","","Residential","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120220725005875","2023-09-23 13:15:29","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Suq Al Kabeer","32000","32000","Non Free Hold","10","Unit","Flat","","Residential","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120220729004287","2023-09-23 11:49:04","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Mararr","49680","49680","Non Free Hold","13.83","Unit","Shop","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120220812003257","2023-09-23 12:15:23","2023-08-22 00:00:00","2024-08-21 00:00:00","Renewed","Al Warsan First","31000","31000","Free Hold","37.6","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","","Lawnz Residence by Danube "
"0120220812003257","2023-09-23 12:15:23","2023-08-22 00:00:00","2024-08-21 00:00:00","Renewed","Al Warsan First","31000","31000","Free Hold","37.6","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120220813005210","2023-09-23 13:46:00","2023-08-15 00:00:00","2024-08-14 00:00:00","Renewed","Al Hebiah Third","155000","155000","Free Hold","254.15","Villa","Villa","3","Residential","","","Motor City","","1","","DAMAC HILLS- PELHAM "
"0120220817003096","2023-09-23 10:59:17","2023-08-05 00:00:00","2024-08-04 00:00:00","Renewed","Al Warsan First","32000","32000","Free Hold","66.5","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120220818000256","2023-09-23 12:33:06","2023-09-24 00:00:00","2024-09-23 00:00:00","Renewed","Jabal Ali First","49350","49350","Free Hold","90","Unit","Flat","","Residential","","","","","1","",""
"0120220818001783","2023-09-23 13:24:30","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Raffa","50000","50000","Non Free Hold","0","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120220819003336","2023-09-23 12:16:36","2023-09-20 00:00:00","2024-09-19 00:00:00","Renewed","Al Warsan First","50000","50000","Free Hold","83.68","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120220820000796","2023-09-23 11:50:32","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Al Barsha South Fourth","85000","85000","Free Hold","138.21","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","",""
"0120220822001696","2023-09-23 10:31:17","2023-09-25 00:00:00","2024-09-24 00:00:00","Renewed","Al Nahda Second","71000","71000","Non Free Hold","149.1","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220822004159","2023-09-23 10:50:26","2023-08-25 00:00:00","2024-09-24 00:00:00","Renewed","Al Warqa First","42000","42000","Non Free Hold","81.1","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220822006928","2023-09-23 11:44:52","2023-08-22 00:00:00","2024-08-21 00:00:00","Renewed","Al Buteen","125000","125000","Non Free Hold","11.42","Unit","Shop","","Commercial","Al Ras Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120220824002297","2023-09-23 13:40:30","2023-09-25 00:00:00","2024-09-24 00:00:00","Renewed","Nadd Hessa","45000","45000","Free Hold","68.97","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"0120220825002344","2023-09-23 12:13:50","2023-08-26 00:00:00","2024-08-25 00:00:00","Renewed","Al Hebiah Fourth","29700","29700","Free Hold","34.6","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","THE SPIRIT"
"0120220827000949","2023-09-23 13:02:27","2023-09-05 00:00:00","2024-09-04 00:00:00","Renewed","Wadi Al Safa 2","32200","32200","Free Hold","52.96","Unit","Flat","","Residential","","","IMG World Adventures","","1","","QPOINT LIWAN-PLOT R047"
"0120220829001264","2023-09-23 14:17:54","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Barsha First","65000","65000","Non Free Hold","73.69","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120220829004337","2023-09-23 09:34:11","2023-10-03 00:00:00","2024-10-02 00:00:00","Renewed","Jabal Ali First","34000","34000","Free Hold","49","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120220830003530","2023-09-23 13:38:24","2023-10-04 00:00:00","2024-10-03 00:00:00","Renewed","Jabal Ali First","34000","34000","Free Hold","45","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120220830007585","2023-09-23 14:50:07","2023-08-25 00:00:00","2024-08-24 00:00:00","Renewed","Mirdif","115500","115500","Non Free Hold","1394","Villa","Villa","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","1","",""
"0120220831001159","2023-09-23 10:02:39","2023-08-19 00:00:00","2024-08-18 00:00:00","Renewed","Muhaisanah Second","69600","69600","Non Free Hold","29.75","Unit","Labor Camps","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","2","",""
"0120220831001159","2023-09-23 10:02:39","2023-08-19 00:00:00","2024-08-18 00:00:00","Renewed","Muhaisanah Second","69600","69600","Non Free Hold","29.75","Unit","Labor Camps","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","2","",""
"0120220831003713","2023-09-23 11:17:05","2023-09-05 00:00:00","2024-09-04 00:00:00","Renewed","Al Warsan First","29000","29000","Free Hold","37.6","Unit","Studio ","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120220831003713","2023-09-23 11:17:05","2023-09-05 00:00:00","2024-09-04 00:00:00","Renewed","Al Warsan First","29000","29000","Free Hold","37.6","Unit","Studio ","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","","Lawnz Residence by Danube "
"0120220901001681","2023-09-23 10:54:48","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Al Nahda Second","36000","36000","Non Free Hold","90","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220901003572","2023-09-23 11:15:46","2023-09-05 00:00:00","2024-09-04 00:00:00","Renewed","Jumeirah Third","220000","220000","Non Free Hold","350","Villa","Villa","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
