title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
Free Guy,332,265%,2.7,125,122,36.7%,210,63.3%,331526598,2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=656,https://www.pagalmovie.in/2021/10/free-guy-budget-box-office-hit-or-flop-cast-crew-story-wiki.html,,not horror
Frozen,1305,870%,8.7,150,401,30.7%,904,69.3%,1304550716,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=218,,,not horror
Frozen II,1450,967%,9.7,150,477,32.9%,973,67.1%,1450026933,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=211,,,not horror
Furious 7,1515,798%,8,190,353,23.3%,1162,76.7%,1515341399,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=209,,,not horror
G.I. Joe: Retaliation,376,289%,2.9,130,123,32.6%,253,67.4%,375740705,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=564,,,not horror
Get Out,254,5652%,56.5,4.5,175.5,69.0%,78.8,31.0%,254329516,2017,2010's,,,,horror
Ghost,506,2199%,22,23,218,43.0%,288,57.0%,505703557,1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=425,https://en.wikipedia.org/wiki/Ghost_(1990_film),,not horror
Gladiator,465,452%,4.5,103,188,40.3%,278,59.7%,465380802,2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=461,https://www.forbes.com/sites/simonthompson/2020/06/15/talking-gladiator-at-20-with-producer-douglas-wick/,,not horror
Glass,246.9,1235%,12.3,20,111,45.0%,135.9,55.0%,246908596,2019,2010's,,,,not horror
God's Not Dead,63,3132%,31.3,2,60.8,97.0%,1.9,3.0%,62630732,2014,2010's,,,,not horror
Godzilla,525,328%,3.3,160,201,38.2%,324,61.8%,524976069,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=415,,,not horror
Godzilla,379,253%,2.5,150,136,36.0%,243,64.0%,379014294,1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=558,https://en.wikipedia.org/wiki/Godzilla_(1998_film),,not horror
Godzilla vs. Kong,470,235%,2.4,200,101,21.5%,369,78.5%,470067014,2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=454,"https://en.wikipedia.org/wiki/Godzilla_vs._Kong#:~:text=It%20broke%20several%20pandemic%20box,highest%2Dgrossing%20film%20of%202021.",,not horror
Godzilla: King of the Monsters,387,227%,2.3,170,111,28.6%,276,71.4%,386600138,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=546,,,not horror
GoldenEye,352,587%,5.9,60,106,30.2%,246,69.8%,352194034,1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=616,https://en.wikipedia.org/wiki/Basic_Instinct,,not horror
Gone Girl,369,605%,6.1,61,168,45.4%,202,54.6%,369330363,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=578,,,not horror
Grandma,7,1140%,11.4,0.6,6.7,98.5%,0.1,1.5%,6841296,2015,2010's,,,,not horror
Gravity,723,723%,7.2,100,274,37.9%,449,62.1%,723192705,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=326,,,not horror
Grease,396,6605%,66,6,190,48.0%,206,52.0%,396271103,1978,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=536,"https://www.broadway.com/buzz/181221/happy-birthday-grease-37-fun-facts-about-the-highest-grossing-movie-musical-of-all-time/#:~:text=Grease%20only%20cost%20%246%20million,movie%20musical%20of%20all%20time.",,not horror
Green Book,322,1399%,14,23,85,26.4%,237,73.6%,321752656,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=674,,,not horror
Guardians of the Galaxy,773,455%,4.5,170,334,43.2%,440,56.8%,773350147,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=308,,,not horror
Guardians of the Galaxy Vol. 2,864,432%,4.3,200,390,45.1%,474,54.9%,863756051,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=280,,,not horror
Halloween ,254,2537%,25.4,10,159.3,62.8%,94.3,37.2%,253679925,2018,2010's,,,,Horror
Hancock,629,420%,4.2,150,228,36.2%,401,63.8%,629443428,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=360,,,not horror
Hannibal,352,404%,4,87,165,46.9%,187,53.1%,351692268,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=619,https://en.wikipedia.org/wiki/Hannibal_(2001_film),,not horror
Happy Death Day,112,2341%,23.4,4.8,55.7,49.5%,56.7,50.5%,112381005,2017,2010's,,,,horror
Happy Feet,384,384%,3.8,100,198,51.5%,186,48.5%,384336108,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=550,https://en.wikipedia.org/wiki/Happy_Feet,,not horror
Harry Potter & the Goblet of Fire,897,598%,6,150,290,32.4%,606,67.6%,896815106,2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=269,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter & the Order of the Phoenix,942,628%,6.3,150,292,31.0%,650,69.0%,942218425,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=260,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter & the Prisoner of Azkaban,798,614%,6.1,130,250,31.4%,548,68.6%,797660766,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=295,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter & the Sorcerer's Stone,1024,819%,8.2,125,319,31.2%,705,68.8%,1023842938,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=247,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter and the Chamber of Secrets,903,903%,9,100,263,29.1%,640,70.9%,902746596,2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=266,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter and the Deathly Hallows: Part 1,977,782%,7.8,125,296,30.3%,681,69.7%,977070383,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=251,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,,not horror
Harry Potter and the Deathly Hallows: Part 2,1342,1074%,10.7,125,381,28.4%,961,71.6%,1342359942,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=214,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,,not horror
Harry Potter and the Half-Blood Prince,934,374%,3.7,250,302,32.4%,632,67.6%,934483039,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=263,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
"Hello, My Name is Doris",29,2896%,29,1,28.8,99.3%,0.2,0.7%,28962889,2016,2010's,,,,not horror
High School Musical 3,253,2299%,23,11,90.6,35.8%,162.4,64.2%,252910000,2008,2000's,,,,not horror
Hitch,372,531%,5.3,70,179,48.3%,192,51.7%,371594210,2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=573,https://en.wikipedia.org/wiki/Hitch_(film),,not horror
Hobbs & Shaw,761,380%,3.8,200,174,22.9%,587,77.1%,760732926,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=311,,,not horror
Home,386,286%,2.9,135,177,46.0%,209,54.0%,386041607,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=547,,,not horror
Home Alone,477,2648%,26.5,18,286,60.0%,191,40.0%,476684675,1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=444,https://en.wikipedia.org/wiki/Home_Alone,,not horror
Home Alone 2,359,1282%,12.8,28,174,48.4%,185,51.6%,358994850,1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=599,https://en.wikipedia.org/wiki/Home_Alone_2:_Lost_in_New_York,,not horror
Hotel Transylvania,358,422%,4.2,85,148,41.4%,210,58.6%,358375603,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=600,,,not horror
Hotel Transylvania 2,475,594%,5.9,80,170,35.7%,305,64.3%,475186706,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=446,,,not horror
Hotel Transylvania 3: Summer Vacation,529,661%,6.6,80,168,31.7%,361,68.3%,528583774,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=412,,,not horror
How the Grinch Stole Christmas,346,281%,2.8,123,261,75.4%,85,24.6%,345823032,2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=634,https://www.imdb.com/title/tt0170016/,,not horror
How to Train Your Dragon,495,300%,3,165,218,44.0%,277,56.0%,494879471,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=430,,,not horror
How to Train Your Dragon 2,622,429%,4.3,145,177,28.5%,445,71.5%,621537519,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=366,,,not horror
How to Train Your Dragon: The Hidden World,525,407%,4.1,129,161,30.7%,364,69.3%,524580592,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=416,,,not horror
I Am Legend,585,390%,3.9,150,256,43.8%,329,56.2%,585410052,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=382,https://en.wikipedia.org/wiki/I_Am_Legend_(film),,not horror
I Can Only Imagine,83,1193%,11.9,7,83.5,100.0%,0,0.0%,83482352,2018,2010's,,,,not horror
"I, Robot",353,294%,2.9,120,145,41.0%,208,59.0%,353133898,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=611,"https://en.wikipedia.org/wiki/I,_Robot_(film)",,not horror
Ice Age,383,639%,6.4,60,176,46.0%,207,54.0%,383257136,2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=554,https://en.wikipedia.org/wiki/Ice_Age_(2002_film),,not horror
Ice Age: Collision Course,409,389%,3.9,105,64,15.7%,345,84.3%,408754975,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=517,https://en.wikipedia.org/wiki/Ice_Age:_Collision_Course,,not horror
Ice Age: Continental Drift,877,923%,9.2,95,161,18.4%,716,81.6%,877244782,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=275,https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift,,not horror
Ice Age: Dawn of the Dinosaurs,887,985%,9.9,90,197,22.2%,690,77.8%,886686817,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=272,https://en.wikipedia.org/wiki/Ice_Age:_Dawn_of_the_Dinosaurs,,not horror
Ice Age: The Meltdown,667,834%,8.3,80,195,29.3%,472,70.7%,667094506,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=345,https://en.wikipedia.org/wiki/Ice_Age:_The_Meltdown,,not horror
Inception,837,523%,5.2,160,293,35.0%,544,65.0%,836848102,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=285,https://www.google.com/search?q=inception+budget&oq=inception+budget&aqs=chrome..69i57j0i512l3j0i22i30j0i15i22i30j0i22i30l2j0i390l2.1869j1j4&sourceid=chrome&ie=UTF-8,,not horror
Incredibles 2,1243,622%,6.2,200,609,49.0%,635,51.0%,1243089244,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=219,https://en.wikipedia.org/wiki/Incredibles_2,,not horror
Independence Day,817,1090%,10.9,75,306,37.5%,511,62.5%,817400891,1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=290,https://en.wikipedia.org/wiki/Independence_Day_(1996_film),,not horror
Independence Day: Resurgence,390,236%,2.4,165,103,26.5%,287,73.5%,389681935,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=542,https://www.indiewire.com/2019/11/roland-emmerich-independence-day-resurgence-1202187244/,,not horror
Indiana Jones & the Last Crusade,474,988%,9.9,48,197,41.6%,277,58.4%,474171806,1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=449,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Last_Crusade,,not horror
Indiana Jones and the Kingdom of the Crystal Skull,791,427%,4.3,185,317,40.1%,474,59.9%,790653942,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=300,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,,not horror
Indiana Jones and the Temple of Doom,333,1190%,11.9,28,180,54.0%,153,46.0%,333107271,1984,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=652,https://www.google.com/search?q=indiana+jones+and+the+temple+of+doom&stick=H4sIAAAAAAAAAONgVuLQz9U3yI63zHrEaMwt8PLHPWEprUlrTl5jVOHiCs7IL3fNK8ksqRQS42KDsnikuLjgmngWsapk5qVkJuYlKmTl56UWKyTmpSiUZKQqlKTmFuSkKuSnKaTk5-cCAAIGAk9pAAAA&sa=X&ved=2ahUKEwj7rrOWzv77AhX1QEEAHXuRB30Q1i96BAgGEAM&biw=560&bih=913&dpr=2,,not horror
Inglourious Basterds,321,459%,4.6,70,121,37.5%,201,62.5%,321457747,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=677,https://en.wikipedia.org/wiki/Inglourious_Basterds,,not horror
Inside Out,859,491%,4.9,175,357,41.6%,502,58.4%,858848019,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=281,https://en.wikipedia.org/wiki/Inside_Out_(2015_film),,not horror
Insidious,67,4485%,44.9,1.5,54,80.3%,13.3,19.7%,67280000,2011,2010's,,,,horror
Insidious: Chpt 3,110,1095%,11,10,52.2,47.7%,57.3,52.3%,109518558,2015,2010's,,,,horror
Insidious: The Last Key,168,1677%,16.8,10,67.3,40.2%,100.4,59.8%,167700948,2018,2010's,,,,horror
Insidious Chpt 2,162,3238%,32.4,5,83.6,51.6%,78.3,48.4%,161919318,2013,2010's,,,,horror
Instructions Not Included,99,1801%,18,5.5,44.5,44.9%,54.6,55.1%,99067206,2013,2010's,,,,not horror
Interstellar,774,469%,4.7,165,188,24.3%,586,75.7%,773897851,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=307,"https://en.wikipedia.org/wiki/Interstellar_(film)#:~:text=Interstellar%20grossed%20%24188%20million%20in,production%20budget%20of%20%24165%20million.",,not horror
Iron Man,586,418%,4.2,140,319,54.5%,267,45.5%,585796247,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=381,https://en.wikipedia.org/wiki/Iron_Man_(2008_film),,not horror
Iron Man 2,624,312%,3.1,200,312,50.1%,312,49.9%,623933331,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=363,https://en.wikipedia.org/wiki/Iron_Man_2,,not horror
Iron Man 3,1215,607%,6.1,200,409,33.7%,806,66.3%,1214811252,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=221,https://en.wikipedia.org/wiki/Iron_Man_3,,not horror
It,702,1755%,17.5,40,329,46.9%,373,53.1%,701842551,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=333,https://en.wikipedia.org/wiki/It_(2017_film),,not horror
It Chapter Two,473,599%,6,79,212,44.7%,262,55.3%,473122525,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=451,https://en.wikipedia.org/wiki/It_Chapter_Two,,not horror
Jason Bourne,415,346%,3.5,120,162,39.1%,253,60.9%,415484914,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=508,"https://en.wikipedia.org/wiki/Jason_Bourne_(film)#:~:text=Jason%20Bourne%20became%20a%20commercial,production%20budget%20of%20%24120%20million.",,not horror
Jaws,477,5295%,52.9,9,266,55.8%,211,44.2%,476512065,1975,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=445,https://en.wikipedia.org/wiki/Jaws_(film),,horror
Jigsaw,101,1010%,10.1,10,37.9,37.5%,63.1,62.5%,101020014,2017,2010's,,,,horror
John Wick: Chapter 3 - Parabellum,328,438%,4.4,75,171,52.1%,157,47.9%,328349387,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=662,"https://en.wikipedia.org/wiki/John_Wick:_Chapter_3_%E2%80%93_Parabellum#:~:text=The%20film%20grossed%20%24326%20million,visual%20style%2C%20and%20Reeves's%20performance.",,not horror
Joker,1105,1578%,15.8,70,335,30.4%,769,69.6%,1104943613,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=231,https://en.wikipedia.org/wiki/Joker_(2019_film),,not horror
Journey 2: The Mysterious Island,335,419%,4.2,80,104,31.0%,231,69.0%,335287748,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=646,"https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)#:~:text=The%20film%20was%20a%20box,Supporting%20Actress%20for%20Taraji%20P.",,not horror
Jumanji: The Next Level,802,607%,6.1,132,320,40.0%,481,60.0%,801693929,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=294,"https://en.wikipedia.org/wiki/Jumanji:_The_Next_Level#:~:text=The%20film%20received%20generally%20positive,highest%2Dgrossing%20film%20of%202019.",,not horror
Jumanji: Welcome to the Jungle,963,1069%,10.7,90,405,42.0%,558,58.0%,962542945,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=254,https://www.imdb.com/title/tt2283362/,,not horror
Juno,231,3082%,30.8,7.5,143.5,62.1%,87.7,37.9%,231184173,2007,2000's,,,,not horror
Jurassic Park,1110,1762%,17.6,63,404,36.4%,706,63.6%,1109802321,1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=229,https://en.wikipedia.org/wiki/Jurassic_Park_(film),,not horror
Jurassic Park III,369,397%,4,93,181,49.1%,188,50.9%,368780809,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=580,https://en.wikipedia.org/wiki/Jurassic_Park_III,,not horror
Jurassic World,1672,1114%,11.1,150,653,39.1%,1018,60.9%,1671537444,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=206,https://www.google.com/search?q=jurassic+world+budget&oq=jurassic+world+budget&aqs=chrome..69i57j0i512l3j0i22i30l6.3116j1j4&sourceid=chrome&ie=UTF-8,,not horror
Jurassic World: Dominion,1001,541%,5.4,185,376,37.6%,625,62.4%,1001136080,2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=250,https://www.google.com/search?q=jurassic+world+dominion+budget&oq=jurassic+world+dominion+budget&aqs=chrome..69i57j0i512l3j0i22i30l4j0i390l2.4375j0j4&sourceid=chrome&ie=UTF-8,,not horror
Jurassic World: Fallen Kingdom,1310,701%,7,187,418,31.9%,893,68.1%,1310466296,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=216,https://en.wikipedia.org/wiki/Jurassic_World:_Fallen_Kingdom,,not horror
Justice League,658,219%,2.2,300,229,34.8%,429,65.2%,657926987,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=348,https://en.wikipedia.org/wiki/Justice_League_(film),,not horror
King Kong,557,269%,2.7,207,218,39.2%,339,60.8%,556906378,2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=391,"https://en.wikipedia.org/wiki/King_Kong_(2005_film)#:~:text=Filming%20for%20King%20Kong%20took,%2Drecord%2Dbreaking%20%24207%20million.",,not horror
Kingsman: The Golden Circle,411,395%,4,104,100,24.4%,311,75.6%,410902662,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=515,"https://en.wikipedia.org/wiki/Kingsman:_The_Golden_Circle#:~:text=Kingsman%3A%20The%20Golden%20Circle%20grossed,production%20budget%20of%20%24104%20million.",,not horror
Kingsman: The Secret Service,414,441%,4.4,94,128,31.0%,286,69.0%,414351546,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=510,https://en.wikipedia.org/wiki/Kingsman:_The_Secret_Service,,not horror
Knives Out,313,782%,7.8,40,165,52.8%,148,47.2%,312897920,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=691,https://en.wikipedia.org/wiki/Knives_Out,,not horror
Kong: Skull Island,567,306%,3.1,185,168,29.7%,399,70.3%,566652812,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=388,"https://en.wikipedia.org/wiki/Kong:_Skull_Island#:~:text=With%20a%20production%20budget%20of,million%20worldwide%20to%20break%2Deven.",,not horror
Kung Fu Panda,632,486%,4.9,130,216,34.1%,416,65.9%,632083197,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=357,https://en.wikipedia.org/wiki/Kung_Fu_Panda_(film),,not horror
Kung Fu Panda 2,666,444%,4.4,150,165,24.8%,500,75.2%,665692281,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=346,https://www.google.com/search?q=kung+fu+panda+2+budget&oq=kung+fu+panda+2+budget&aqs=chrome..69i57j0i22i30l2j0i390l3.5275j1j4&sourceid=chrome&ie=UTF-8,,not horror
Kung Fu Panda 3,521,359%,3.6,145,144,27.5%,378,72.5%,521170825,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=420,https://en.wikipedia.org/wiki/Kung_Fu_Panda_3,,not horror
La La Land,471,1571%,15.7,30,151,32.1%,320,67.9%,471226899,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=452,"https://en.wikipedia.org/wiki/La_La_Land#:~:text=The%20film%20was%20a%20commercial,%2C%20cinematography%2C%20and%20production%20design.",,not horror
Les Misérables,442,725%,7.3,61,149,33.6%,293,66.4%,442299309,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=481,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film),,not horror
Lethal Weapon 3,322,919%,9.2,35,145,45.0%,177,55.0%,321731527,1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=675,https://en.wikipedia.org/wiki/Lethal_Weapon_3,,not horror
Life of Pi,609,508%,5.1,120,125,20.5%,484,79.5%,609016565,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=372,https://en.wikipedia.org/wiki/Life_of_Pi_(film),,not horror
Lights Out,149,3036%,30.4,4.9,67.3,45.2%,81.5,54.8%,148768835,2016,2010's,,,,horror
Lion,149,1242%,12.4,12,7.2,4.8%,141.6,95.0%,148768835,2016,2010's,,,,not horror
Little Fockers,311,311%,3.1,100,148,47.8%,162,52.2%,310650585,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=697,https://en.wikipedia.org/wiki/Little_Fockers,,not horror
Live Free or Die Hard,388,353%,3.5,110,135,34.7%,254,65.3%,388156011,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=544,https://en.wikipedia.org/wiki/Live_Free_or_Die_Hard,,not horror
Logan,619,516%,5.2,120,226,36.5%,393,63.5%,619179950,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=367,https://en.wikipedia.org/wiki/Logan_(film),,not horror
LOTR: The Fellowship of the Ring,898,966%,9.7,93,316,35.2%,582,64.8%,898182036,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=268,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings_(film_series),,not horror
LOTR: The Return of the King,1146,1220%,12.2,94,378,33.0%,768,67.0%,1146436214,2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=225,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,,not horror
LOTR: Two Towers,948,1008%,10.1,94,343,36.2%,605,63.8%,947939315,2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=259,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers,,not horror
Lucy,469,1203%,12,39,127,27.0%,342,73.0%,469058574,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=456,"https://en.wikipedia.org/wiki/Lucy_(2014_film)#:~:text=The%20film%20was%20released%20on,the%20budget%20of%20%2439%20million.",,not horror
Mad Max: Fury Road,390,211%,2.1,185,154,39.6%,235,60.4%,389561515,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=543,"https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road#:~:text=It%20grossed%20%24375.7%20million%20at,%24154.6%E2%80%93185.1%20million%20production%20budget.",,not horror
Madagascar,542,723%,7.2,75,194,35.7%,348,64.3%,542063846,2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=404,https://www.google.com/search?q=madagascar+movie+budget&oq=madagascar+movie+budget&aqs=chrome..69i57j0i15i22i30j0i390l2.3457j0j4&sourceid=chrome&ie=UTF-8,,not horror
