Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard
1943,Qtr 3,July,4,N/A,Consolidated Liberator B24,Consolidated Liberator B24 CA L,Gibraltar?,N/A,0,12,13
1943,Qtr 3,July,27,Alaska,Douglas,Douglas C 47 Skytrain41,Naknek AFB Alaska,Army US - Military,0,11,11
1943,Qtr 3,July,28,Ireland,Short,Short S 25 Sunderland 3 (flying boat)G,Brandon Head Ireland,Airways Overseas British,0,10,25
1943,Qtr 3,July,28,Kentucky,Douglas,Douglas DC 3NC16014,Trammel Kentucky,Airlines American,0,20,22
1943,Qtr 3,August,1,Romania,Consolidated,Consolidated B 24?,Ploesti Romania,Forces Air Army U.S. - Military,63,10,10
1943,Qtr 3,August,7,Australia,Douglas,Douglas C 47,Off Townsville Australia,Force Air U.S. - Military,0,27,27
1943,Qtr 3,August,11,China,Douglas,Douglas C 5348,Fort Hertz China,Corporation Aviation National China,0,3,3
1943,Qtr 3,August,14,Greece,Savoia,Savoia  Marchetti SM.75 I,Rhodes Greece,LATI,0,17,17
1943,Qtr 3,August,27,Brazil,Junkers,Junkers JU 52/3mPP,Rio de Janeiro Brazil,VASP,0,18,21
1943,Qtr 3,August,27,N/A,Douglas,Douglas DC 3SE,North SeaAB Aerotransport,N/A,0,7,7
1943,Qtr 3,September,10,Texas,Boeing,Boeing B 17F / Boeing B,Off Galveston Texas,Forces Air Army U.S. - Military,0,22,22
1943,Qtr 3,September,20,North,Douglas,Douglas C 53D,Near Maxton North,Forces Air Army U.S. - CarolinaMilitary,0,25,25
1943,Qtr 3,September,22,India,Douglas,Douglas C 5342,Near Calcutta India,Forces Air Army U.S. - Military,0,20,20
1943,Qtr 4,October,15,Tennessee,Douglas,Douglas DC3 G102NC16088,Near Centerville Tennessee,Airlines American,0,15,15
1943,Qtr 4,October,19,Quebec,Consolidated,Consolidated B 243701,St. Donat Quebec,Canada Military - Royal Canadian Air Force,0,24,24
1943,Qtr 4,October,22,Georgia,Douglas,Douglas C 47,Columbus Georgia,Forces Air Army U.S. - Military,0,20,20
1943,Qtr 4,October,22,Sweden,Douglas,Douglas DC 3SE,Hallo Sweden,Aerotransport AB,0,13,15
1943,Qtr 4,November,5,N/A,Short Sunderland,Short Sunderland 3G AGIB,Eastern LibyaBritish Overseas Airways,N/A,0,19,19
1943,Qtr 4,November,8,India,??,??,Poona India,Force Air Indian - Military,37,1,1
1943,Qtr 4,November,19,China,Douglas,Douglas C 4763,Kunming China,Corporation Aviation National China,0,3,3
1943,Qtr 4,November,19,China,Douglas,Douglas C 5359,Kunming China,Corporation Aviation National China,0,2,3
1943,Qtr 4,November,26,New,Lockheed,Lockheed L 18,Port Moresby New,GuineaQantas,0,15,15
1943,Qtr 4,December,17,Scotland,Lockheed,Lockheed 18 56 LodestarG,Off Montrose Scotland,Airways Overseas British,0,10,10
1943,Qtr 4,December,18,China,Douglas,Douglas C 4783,Suifu China,Corporation Aviation National China,0,3,3
1943,Qtr 4,December,19,Australia,Douglas,Douglas C 47A,Canal Creek Australia,Force Air U.S. - Military,0,31,31
1943,Qtr 4,December,29,Utah,Consolidated,Consolidated B 24 / Consolidated B,Lakeside Utah,Army U.S. - Military / Forces Air Army U.S. - Military,0,25,25
1944,Qtr 1,January,15,Yugoslavia,Junkers,Junkers JU 52/3mD,Belgrad Yugoslavia,Lufthansa Deutsche,0,5,5
1944,Qtr 1,February,10,Mozambique,Lockheed,Lockheed 14 H2 Super ElectraCR,Near Quelimane Mozambique,DETA,0,14,14
1944,Qtr 1,February,10,Tennessee,Douglas,Douglas DC 3NC21767,Memphis Tennessee,Airlines American,0,24,24
1944,Qtr 1,February,20,N/A,Douglas,Douglas C 4775,ChinaChina National Aviation Corporation,N/A,0,2,2
1944,Qtr 1,February,21,Greece,Junkers,Junkers JU 52/3mD,Eubeoa Greece,Lufthansa Deutsche,0,16,16
1944,Qtr 1,March,22,N/A,Consolidated,Consolidated B 24 Liberator?,New GuineaMilitary - U.S. Army,N/A,0,21,21
1944,Qtr 2,April,6,Alaska,Pilgrim,Pilgrim 100BNC742N,Near Nome Alaska,Airways World American Pan,0,6,6
1944,Qtr 2,April,17,Yugoslavia,Junkers,Junkers JU 52/3mD,Belgrad Yugoslavia,Lufthansa Deutsche,0,5,7
1944,Qtr 2,April,21,Norway,Douglas,Douglas DC 3D,Frederikstad Norway,Lufthansa Deutsche,0,9,20
1944,Qtr 2,April,25,Canada,Consolidated,Consolidated Liberator?,Montreal Canada,Force Air Royal - Military,0,16,16
1944,Qtr 2,May,26,China,Douglas,Douglas C 4782,Between Calcutta to Dinjan China,Corporation Aviation National China,0,12,12
1944,Qtr 2,May,27,India,Douglas,Douglas DC 3?,Off Calcutta India,Corporation Aviation National China,0,14,14
1944,Qtr 2,June,6,France,Douglas,Douglas C 47A,Carentan France,Forces Air Army U.S. - Military,0,22,22
1944,Qtr 2,June,6,France,Douglas,Douglas C 47A42,Barneville France,Forces Air Army U.S. - Military,0,22,22
1944,Qtr 2,June,6,France,Douglas,Douglas C 47A42,Flamanville France,Forces Air Army U.S. - Military,0,22,22
1944,Qtr 2,June,8,China,Douglas,Douglas C 4785,Kunming China,Corporation Aviation National China,0,6,6
1944,Qtr 2,June,18,China,Douglas,Douglas C 4771,Kweilin China,Corporation Aviation National China,0,2,4
1944,Qtr 2,June,20,Brazil,Lockheed 10C,Lockheed 10C ElectraPP VAG,Porto Alegre Brazil,Varig,0,10,10
1944,Qtr 3,July,11,Maine,Douglas,Douglas A 26B Invader 43,Portland Maine,Army U.S. - Military,19,2,2
1944,Qtr 3,July,23,Papua,R4D,R4D  539090,Nineteen miles W of Kokoda Papua,Navy US - GuineaMilitary New,0,17,17
1944,Qtr 3,July,26,N/A,Douglas,Douglas C 54A,North Atlantic OceanMilitary - U.S. Army Air Forces,N/A,0,26,26
1944,Qtr 3,July,27,Scotland,Douglas,Douglas C 47A,Port Logan Scotland,Forces Air Army U.S. - Military,0,22,22
1944,Qtr 3,July,31,Gilbert,Consolidated Catalina,Consolidated Catalina PB2Y 3R7233,Funafuti Gilbert,Pacific Ocean          Islands Pan American Airways,0,22,24
1944,Qtr 3,August,3,Nebraska,Douglas,Douglas C 47A,Naper Nebraska,Forces Air Army U.S. - Military,0,28,28
1944,Qtr 3,August,8,Cuba,Sikorsky,Sikorsky S 42 (flying boat)NC823M,Off Antilla Cuba,Airways World American Pan,0,17,31
1944,Qtr 3,August,12,England,Consolidated,Consolidated PB4Y 132271,Blythburgh England,Navy U.S. - Military,0,2,2
1944,Qtr 3,August,23,England,Consolidated,Consolidated B 24H42,Freckelton England,Force Air U.S. - Military,58,3,3
1944,Qtr 3,August,28,Scotland,Douglas,Douglas C 54A,Preswick Scotland,Forces Air Army U.S. - Military,5,20,20
1944,Qtr 3,August,29,Västergötland,Lockheed,Lockheed 18 56 LoadstarG,Near Lidköping Västergötland,Swden British Overseas Airways,0,11,15
1944,Qtr 3,August,30,Brazil,Lockheed 18,Lockheed 18 LodestarPP PBI,Sao Paulo Brazil,Brasil do Panair,0,18,18
1944,Qtr 3,September,2,Yugoslavia,Junkers,Junkers JU52/3mD AUAW,Belgrad Yugoslavia,Lufthansa Deutsche,0,5,5
1944,Qtr 3,September,7,Queensland,C,C  47 Dakota DT,Near Mossman Queensland,Australia Military - Royal Netherlands East Indies Air Force,0,20,20
1944,Qtr 3,September,17,Kansas,Consolidated,Consolidated B 24 Liberator?,Copeland Kansas,Army U.S. - Military,2,13,13
1944,Qtr 3,September,18,N/A,Douglas,Douglas C 47A,AlaskaU. S. Air Force,N/A,0,19,19
1944,Qtr 3,September,21,Brazil,Lockheed 18,Lockheed 18 LodestarPP PBH,Rio Doce Brazil,Brasil do Panair,0,17,17
1944,Qtr 3,September,27,France,Focke,Focke  Wulf FW 200D,Near Dijon France,Lufthansa Deutsche,0,9,9
1944,Qtr 4,October,7,India,Douglas,Douglas C 47101,Near Sadiya India,Corporation Aviation National China,0,3,3
1944,Qtr 4,October,10,N/A,Junkers,Junkers JU 52/3mD,BosniaDeutsche Lufthansa,N/A,0,7,7
1944,Qtr 4,October,11,Australia,Short,Short S 23 (flying boat)VH,Sydney Australia,Qantas,0,1,30
1944,Qtr 4,October,11,Australia,Short S.23 Empire Flying,Short S.23 Empire Flying BoatVH ABB,Sydney Australia,Qantas,0,1,29
1944,Qtr 4,October,16,Norway,Junkers,Junkers JU 52/3mD,Telemark Norway,Lufthansa Deutsche,0,15,15
1944,Qtr 4,October,17,N/A,Junkers,Junkers JU 52/3mD,Komarom,Hungary Deutsche Lufthansa,0,1,9
1944,Qtr 4,October,18,England,Consolidated,Consolidated B24H42 50347,Birkenhead England,Forces Air Army U.S. - Military,0,24,24
1944,Qtr 4,November,4,California,Douglas,Douglas DC 3NC28310,Hanford California,Air Western and Continental Trans,0,24,24
1944,Qtr 4,November,6,Florida,Douglas,Douglas C 47 Skytrain (DC,Jacksonville Florida,Navy US - Military,0,17,17
1944,Qtr 4,November,9,Norway,?42,?42  52196,Seljord Norway,Corps Air Army U.S. - Military,0,0,0
1944,Qtr 4,November,10,Yunan,Lockheed,Lockheed Hudson?,Near Kumming Yunan,China CATC,0,20,20
1944,Qtr 4,November,19,England,Douglas,Douglas C 47A,Lewes England,Forces Air Army U.S. - Military,0,25,30
1944,Qtr 4,November,29,Kenya,Lockheed 18,Lockheed 18 LodeStarG AGBW,Nairobi Kenya,BOAC,0,11,11
1944,Qtr 4,November,29,Nicaragua,Ford,Ford 5 AT,Tegucigalpa Nicaragua,TACA,0,16,16
1944,Qtr 4,November,29,Sweden,Focke,Focke  Wulf FW 200D,Off Falsterbo Sweden,Lufthansa Deutsche,0,10,10
1944,Qtr 4,November,30,China,Douglas,Douglas C 4756,Dinjan China,Corporation Aviation National China,0,3,3
1944,Qtr 4,December,1,California,Douglas,Douglas DC 3NC17322,Van Nuys California,Air Western and Continental Trans,0,9,17
1944,Qtr 4,December,3,N/A,Avro 683,Avro 683 LancasterCF CMU,Atlantic OceanTrans-Canada Air Lines,N/A,0,5,5
1944,Qtr 4,December,7,Ukraine,Lisunov,Lisunov LI 2CCCP,Orlivka Ukraine,Aeroflot,0,16,16
1944,Qtr 4,December,15,N/A,UC,UC  64A Noorduyn Norseman44,English ChannelMilitary - U.S. Army Air Forces,N/A,0,3,3
1945,Qtr 1,January,6,India,Douglas,Douglas C 4777,Near Dinjan India,Corporation Aviation National China,0,4,4
1945,Qtr 1,January,8,Trinidad,Martin,Martin M 130 (flying boat)NC14716,Port of Spain Trinidad,Airways World American Pan,0,23,30
1945,Qtr 1,January,10,California,Douglas,Douglas DC 3NC25684,Burbank California,Airlines American,0,24,24
1945,Qtr 1,January,14,N/A,Douglas,Douglas C 4770,ChinaChina National Aviation Corporation,N/A,0,4,6
1945,Qtr 1,January,16,China,Douglas,Douglas C 47?,Near Kunming China,Corporation Aviation National China,0,3,3
1945,Qtr 1,January,23,Indonesia,Consolidated,Consolidated LiberatorA72 70,Timor Indonesia,Force Air Australian Royal - Military,0,11,11
1945,Qtr 1,January,31,Australia,Stinson Model,Stinson Model AVH UYY,Redesdale Australia,Airways National Australian,0,10,10
1945,Qtr 1,February,2,Italy,Douglas,Douglas C 47,Near Montieri Italy,Forces Air Army U.S. - Military,0,23,26
1945,Qtr 1,February,6,England,Douglas,Douglas C 47 DakotaKG630,Nunters Burgh England,Force Air -Royal Military,0,23,23
1945,Qtr 1,February,13,California,Douglas,Douglas R4D 650765,Off Oakland California,Navy U.S. - Military,0,24,24
1945,Qtr 1,February,15,Brazil,Lockheed 18,Lockheed 18 LoadstarPP NAE,Lagoa Santa Brazil,Brasileira Aerea Navegacao,0,11,11
1945,Qtr 1,February,23,Morocco,Curtiss,Curtiss C 46A42,Casablanca Morocco,Force Air Army States United - Military,0,13,30
1945,Qtr 1,February,23,Poland,Junkers 52/3m,Junkers 52/3m 4V+DR,Snezka mountains Poland,Army German - Military,0,8,8
1945,Qtr 1,February,23,Virginia,Douglas,Douglas DC 3NC18142,Marion Virginia,Airlines American,0,17,22
1945,Qtr 1,March,27,off,Douglas,Douglas C 47A,Coral Sea off,Force Air U.S. - AustraliaMilitary,0,24,24
1945,Qtr 2,April,9,China,Douglas,Douglas C 4788,Kunming China,Corporation Aviation National China,0,3,3
1945,Qtr 2,April,14,West,Douglas,Douglas DC 3NC25692,Morgantown West,Airlines Central VirginiaPennsylvania,0,20,20
1945,Qtr 2,April,19,Australia,Douglas,Douglas DC 339067,Near Perth Australia,Navy U.S. - Military,0,13,13
1945,Qtr 2,April,20,Germany,Junkers,Junkers JU 53/3mD,Near Steinreich Germany,Lufthansa,0,18,20
1945,Qtr 2,April,20,Texas,Douglas,Douglas C 47,Sweetwater Texas,Forces Air Army U.S. - Military,0,25,25
1945,Qtr 2,April,21,Germany,Focke,Focke  Wulf FW 200D,Near Piesenkofen Germany,Lufthansa Deutsche,0,21,21
1945,Qtr 2,April,23,Isle,B17G Flying,B17G Flying Fortress43 38856,North Barrule Isle,England         Man of Military - U.S. Air Force,0,31,31
1945,Qtr 2,April,27,N/A,Lockheed 18,Lockheed 18 LodestarNC33328,Washington D.C.Page Airways,N/A,0,6,13
1945,Qtr 2,May,5,New,Douglas,Douglas C 54E,Manus Island New,Forces Air Army U.S. - GuineaMilitary,0,21,21
1945,Qtr 2,May,6,England,Curtiss,Curtiss  Wright C,Hindhead England,Forces Air Army U.S. - Military,1,30,30
1945,Qtr 2,May,9,France,Avro,Avro LancasterRF230,Roye France,Force Air -Royal Military,0,31,31
1945,Qtr 2,May,13,New,Douglas,Douglas C 47B,Iran Jayas New,Forces Air Army U.S. - GuineaMilitary,0,20,23
1945,Qtr 2,May,30,Ivory,Douglas,Douglas C 47B,Off Drewin Ivory,Forces Air Army U.S. - CoastMilitary,0,21,21
1945,Qtr 2,June,15,N/A,Douglas,Douglas C 4781,ChinaChina National Aviation Corporation,N/A,0,3,3
1945,Qtr 2,June,24,Australia,De Havilland,de Havilland DH 86AVH,Gealdton Australia,Airlines Miller Robertson Mac,0,2,11
1945,Qtr 2,June,25,England,Consolidated,Consolidated LB 30A LiberatorJT985,Swanage England,Force Air -Royal Military,0,27,27
1945,Qtr 2,June,29,India,??,??,Bangalore India,Force Air Indian Royal - Military,36,2,2
1945,Qtr 2,June,30,N/A,Boeing,Boeing TB 29A Super Fortress44,TexasMilitary - U.S. Air Force,N/A,0,12,12
1945,Qtr 3,July,4,N/A,Consolidated,Consolidated LB 30A LiberatorJT982,North Atlantic OceanMilitary -Royal Air Force,N/A,0,15,15
1945,Qtr 3,July,11,Kenya,Douglas,Douglas C 476812,Near Kisumu Kenya,Force Air African South - Military,0,28,28
1945,Qtr 3,July,12,South,Douglas,Douglas DC 3,Near Florence South,Corps Air Army U.S. - Military / Lines Air CarolinaEastern,0,3,10
1945,Qtr 3,July,28,New,North American,North American B 25D bomber43,New York New,Forces Air Army U.S. - YorkMilitary,11,3,3
1945,Qtr 3,August,1,Mexico,Boeing,Boeing 247DXA DUY,Near San Luis Potosi Mexico,Mineras Aereas Lineas,0,12,12
1945,Qtr 3,August,3,Martinique,Sikorsky,Sikorsky S 43 (flying boat)NC15066,Fort de France Martinique,Airways World American Pan,0,4,14
1945,Qtr 3,August,11,Mexico,Douglas,Douglas DC 2,Ixtaccihuati Mexico,Mexicana,0,16,16
1945,Qtr 3,September,7,South,Douglas,Douglas DC 3NC33631,Florence South,Lines Air CarolinaEastern,0,22,22
1945,Qtr 3,September,11,New,Douglas,Douglas C 47AA6556,Near Milne Bay New,Force Air Australian Royal - GuineaMilitary,0,11,11
1945,Qtr 3,September,15,Missouri,Douglas,Douglas C 47B,Near Kansas Missouri,Forces Air Army U.S. - Military,0,23,24
1945,Qtr 3,September,18,Papua,Douglas,Douglas C 47B,Puncak Jaya Papua,Force Air Australian Royal - GuineaMilitary New,0,29,29
1945,Qtr 3,September,28,China,Curtiss,Curtiss C 46D42,Near Chihkiang China,Force Air Army States United - Military,0,20,20
1945,Qtr 4,October,5,England,Consolidated,Consolidated LB 40,Elvetham England,Force Air -Royal Military,0,23,23
1945,Qtr 4,October,5,Florida,Lockheed 18,Lockheed 18 LodestarNC18199,Lakeland Florida,Airlines National,0,2,15
1945,Qtr 4,October,7,France,Short Stirling,Short Stirling IVLJ668,Rennes France,Force Air Royal - Military,0,26,26
1945,Qtr 4,October,13,Belgium,Consolidated,Consolidated LB 30,Melsbroek Belgium,Force Air -Royal Military,0,31,31
1945,Qtr 4,October,16,China,Curtiss,Curtiss  Wright C,Near Peking China,Forces Air Army U.S. - Military,0,59,59
1945,Qtr 4,October,20,Atlantic,Douglas,Douglas C 47BA65,Timor Sea Atlantic,Force Air Australian Royal - OceanMilitary,0,25,25
1945,Qtr 4,October,20,China,Douglas,Douglas C 47?,Between Shanghi and Canton China,Corporation Aviation National China,0,31,31
1945,Qtr 4,October,23,India,Douglas,Douglas C 47BKJ957,Near Chiringa India,Force Air Royal - Military,0,14,14
1945,Qtr 4,October,24,Malta,Douglas,Douglas C 47 Skytrain (DC,Valetta Malta,BOAC,0,9,16
1945,Qtr 4,October,24,Peru,Faucett,Faucett F 19OB,Tarapoto Peru,Faucett,0,5,5
1945,Qtr 4,October,30,China,Curtiss,Curtiss  Wright C,Chihchiang China,Forces Air Army U.S. - Military,0,45,50
1945,Qtr 4,November,1,Germany,Douglas,Douglas C 47A,Herrenalb Germany,Forces Air Army U.S. - Military,0,26,30
1945,Qtr 4,November,3,India,Douglas,Douglas C 54G45528A,Near Chuka India,Forces Air Army U.S. - Military,0,44,44
1945,Qtr 4,November,7,New,Budd,Budd RB 1 Conestoga?,Near Grants New,Co. Freight Skyway MexicoNational,0,1,3
1945,Qtr 4,November,8,Texas,Martin,Martin PBM 3S  / Martin PBM,Off Corpus Christi Texas,Navy U.S. - Military / Navy U.S. - Military,0,22,27
1945,Qtr 4,November,9,Italy,Douglas,Douglas C 47A,Near Boccadi Italy,Forces Air Army U.S. - Military,0,24,24
1945,Qtr 4,November,11,Italy,Boeing,Boeing B 17G43,Near Picinisco Italy,Forces Air Army U.S. - Military,0,20,20
1945,Qtr 4,November,11,Libya,Short,Short StirlingPJ950,Near Castel Libya,Force Air -Royal Military,0,29,29
1945,Qtr 4,November,11,N/A,Douglas,Douglas C 54?,HimalayasMilitary - U.S. Army,N/A,0,44,44
1945,Qtr 4,November,13,Philippines,Douglas,Douglas C 48VH,Near Tacloban Philippines,Airways National Australian,0,16,17
1945,Qtr 4,November,15,N/A,Douglas,Douglas C 47 Dakota,Near Jacquinot Bay  New GuineaMilitary - Royal Australian Air Force,N/A,0,28,28
1945,Qtr 4,November,22,England,Consolidated,Consolidated LB 30A LiberatorKH126,White's Farm England,Force Air -Royal Military,0,27,27
1945,Qtr 4,December,3,France,Consolidated,Consolidated LB 30A LiberatorKH125,Near Rochefort  France,Force Air -Royal Military,0,28,28
1945,Qtr 4,December,5,Bahamas,Martin PBM,Martin PBM Mariner59225,Off Smyrna Bahamas,Navy U.S. - Military,0,13,13
1945,Qtr 4,December,5,N/A,Five Grumman TBM,Five Grumman TBM Avengers?,Off the Florida coastMilitary - U.S. Navy,N/A,0,14,14
1945,Qtr 4,December,8,Montana,Douglas,Douglas C 4745,Near Billings Montana,Army U.S. - Military,0,17,21
1945,Qtr 4,December,18,Norway,Douglas,Douglas C 47BKN413,Voksenkollen Norway,Force Air Royal - Military,0,17,17
1945,Qtr 4,December,25,French,Lockheed 18,Lockheed 18 LodestarF BALV,Bangui French,France AfricaAir Equatorial,0,8,8
1945,Qtr 4,December,25,Russia,Douglas,Douglas DC 3?,Near Dudinka Russia,Aviatsiya Polyarnya,0,10,10
1945,Qtr 4,December,30,New,Douglas,Douglas DC 3NC18l23,New York City New,Lines Air YorkEastern,0,1,12
1946,Qtr 1,January,6,Alabama,Douglas,Douglas DC 3N21786,Birmingham Alabama,Airlines Central Pennsylvania,0,3,11
1946,Qtr 1,January,9,China,Douglas,Douglas C 47?,Changchun China,Force Air Chinese - Military,0,18,18
1946,Qtr 1,January,14,Russia,Lisunov,Lisunov Li 2SSSR,Near Netrubezh Russia,Aeroflot,0,22,22
1946,Qtr 1,January,15,France,Douglas,Douglas C 47 DakotaKN557,Marseilles France,Force Air -Royal Military,0,23,25
1946,Qtr 1,January,18,Connecticut,Douglas,Douglas DC 3,Cheshire Connecticut,Lines Air Eastern,0,17,17
1946,Qtr 1,January,19,Alberta,Douglas,Douglas DC 3 Dakota?,Crowsnest Pass Alberta,Canada Mililtary - Royal Canadian Air Force,0,7,7
1946,Qtr 1,January,30,France,Douglas,Douglas C 47BKN500,Near Le Mans France,Force Air Royal - Military,0,11,11
1946,Qtr 1,January,31,Wyoming,Douglas,Douglas DC 3,Mt. Elk Wyoming,Lines Air United,0,21,21
1946,Qtr 1,February,5,Philippines,Douglas,Douglas C 47?,Negros Philippines,Forces Air Army U.S. - Military,0,20,20
1946,Qtr 1,February,21,PE,Consolidated,Consolidated 32 2 Liberator IIG,Charlottetown PE,Canada British Overseas Airways,0,1,14
1946,Qtr 1,March,3,California,Douglas,Douglas DC 3,Live Oak Springs California,Airlines American,0,27,27
1946,Qtr 1,March,5,Czechoslovakia,Junkers,Junkers JU 52/3mOK,Near Prague Czechoslovakia,Aerolinie Ceskoslovenske,0,12,15
1946,Qtr 1,March,10,Tasmania,Douglas,Douglas DC 3 (C,Off Hobart Tasmania,Airways National Australian,0,25,25
1946,Qtr 1,March,17,China,??,??,Near Nanking China,Force Air Chinese - Military,0,20,20
1946,Qtr 1,March,18,China,?139,?139,Between Chungking and Shanghai China,Corporation Aviation National China,0,0,0
1946,Qtr 1,March,19,California,Douglas,Douglas C 47B45,Hobart Mills California,Forces Air Army U.S. - Military,0,26,26
1946,Qtr 1,March,23,Cocos,Avro 691 Lancastrian,Avro 691 Lancastrian 1G AGLX,Off Ceylon Cocos,Indian Ocean          Islands British Overseas Airways /Qantas,0,10,10
1946,Qtr 2,April,1,Northern,de Hvilland 89A Dragon,de Hvilland 89A Dragon RapideG AERZ,near Craigavad Northern,Ltd. Services Air IrelandRailway,0,6,6
1946,Qtr 2,April,5,Malta,Vickers Wellington,Vickers Wellington bomberHE 274,Rabat Malta,Navy British Royal - Military,16,4,4
1946,Qtr 2,April,8,China?,??,??,Near Shensi China?,N/A,0,14,14
1946,Qtr 2,April,22,Nicaragua,Lockheed 14 Super,Lockheed 14 Super ElectraAN ACC,La Liberiad Nicaragua,TACA,0,20,21
1946,Qtr 2,April,30,'-,Douglas,Douglas C 47A FZ559,Pindi-Khut  -,Force Air Royal,0,12,12
1946,Qtr 2,May,10,Florida,PBY4,PBY4  2 Privateer / PB4Y,Munson Florida,Navy U.S. - Military / Navy U.S. Military,0,28,28
1946,Qtr 2,May,16,Virginia,Douglas,Douglas DC 3NC53218,Richmond Virginia,Transport Air Viking,0,27,27
1946,Qtr 2,May,22,Norway,Junkers,Junkers JU 52/3mLN,Oslo Norway,Lines Air Norwegian DNL,0,13,14
1946,Qtr 2,June,1,Italy,Douglas,Douglas C 54,Off Amalfi Italy,Forces Air Army U.S. - Military,0,30,38
1946,Qtr 2,June,9,Nigeria,Douglas,Douglas C 47 DakotaKG747,Near Abeokuta Nigeria,Force Air -Royal Military,0,18,18
1946,Qtr 2,June,9,Panama,Douglas,Douglas C 54D,Taboga Island Panama,Forces Air Army U.S. - Military,0,23,23
1946,Qtr 2,June,29,France,Junkers,Junkers Ju 52/3mF,Pau France,France Air,0,2,3
1946,Qtr 2,June,29,N/A,Douglas,Douglas C 47BKJ918,Off MalayaMilitary - Royal Air Force,N/A,0,18,18
1946,Qtr 3,July,9,Massachusetts,Boeing,Boeing B17G43 39136,Holyoke Massachusetts,Forces Air Army U.S. - Military,0,25,25
1946,Qtr 3,July,11,Pennsylvania,Lockheed,Lockheed L 049 ConstellationNC86513,Reading Pennsylvania,Air Western and Continental Trans,0,5,6
1946,Qtr 3,July,13,China,Curtiss,Curtiss C 46?,Tsinan China,Transport Air Central,0,13,49
1946,Qtr 3,July,17,Ecuador,Curtiss,Curtiss C 46D,Cuenca Ecuador,ANDESA,0,30,30
1946,Qtr 3,July,18,Kansas,Douglas,Douglas C 47?,Goodland Kansas,Corps Air Army U.S. - Military,0,13,13
1946,Qtr 3,July,20,N/A,Boeing,Boeing B 17G / Boeing B,Off the Panama coastMilitary -  (2) U.S. Army Air Forces,N/A,0,20,20
1946,Qtr 3,July,25,Burma,Douglas,Douglas C 47 DakotaKN585,Bassein Burma,Force Air -Royal Military,0,22,22
1946,Qtr 3,July,26,Veracruz,Fairchild Pilgrim,Fairchild Pilgrim 100AXA DEJ,Near Huatesco Veracruz,Mexico Communicaciones Aereos de veracruz,0,9,9
1946,Qtr 3,August,7,Norway,Douglas,Douglas C 47A,Oslo Norway,Airways European British,0,3,16
1946,Qtr 3,August,9,New,Lockheed,Lockheed 18 56 Lodestar?,Lakehurst New,Airlines Central JerseyAtlantic,0,4,6
1946,Qtr 3,August,14,Malta,Douglas,Douglas C 47AG,Malta-Luqa Malta,BOAC,0,1,5
1946,Qtr 3,August,20,France,Avro 691 Lancastrian,Avro 691 Lancastrian 1G AGMF,Rouen France,Airways Overseas British,0,8,9
1946,Qtr 3,August,21,Illinois,Douglas,Douglas C 47,Moline Illinois,Airlines Luxury Trans,0,2,25
1946,Qtr 3,August,24,Egypt,Avro,Avro AnsonSU ADJ,Cairo Egypt,Misrair,0,6,9
1946,Qtr 3,August,31,British,Supermarine Stranraer (flying,Supermarine Stranraer (flying boat)CF BYL,Near Prince Rupert British,Canada          Columbia Queen Charlotte Airlines,0,7,7
1946,Qtr 3,September,3,Denmark,Douglas,Douglas DC 3 (C,Holtug Denmark,France Air,0,22,22
1946,Qtr 3,September,4,France,Douglas,Douglas DC 3F,Le Bourget France,France Air,1,20,26
1946,Qtr 3,September,5,Nevada,Douglas,Douglas DC 3 (C,Elko Nevada,Airlines Trans-Luxury,0,21,22
1946,Qtr 3,September,7,Alaska,Douglas,Douglas C 47A?,Nome Alaska,Airfreight McKinley Mt.,0,4,4
1946,Qtr 3,September,7,Gambia,Avro 685 York,Avro 685 York IG AHEW,Bathurst Gambia,Airways American South British,0,24,24
1946,Qtr 3,September,15,Saskatchewan,Douglas,Douglas C 47A Dakota962,Estevan Saskatchewan,Canada Military - Royal Canadian Air Force,0,21,21
1946,Qtr 3,September,17,Belgium,Douglas,Douglas C 47,Brussels Belgium,Sabena,0,1,7
1946,Qtr 3,September,18,Newfoundland,Douglas,Douglas DC 4,Near Gander Newfoundland,Sabena,0,27,44
1946,Qtr 3,September,19,Libya,Avro,Avro LancasterNX690,Near Tripoli Libya,Force Air -Royal Military,0,25,25
1946,Qtr 3,September,20,China,Curtiss Wright,Curtiss Wright C 46?,Lochi Mountain China,Corporation Aviation National China,0,28,28
1946,Qtr 3,September,25,N/A,Douglas,Douglas C 47B,Near Hong Kong International AirportMilitary - Royal Air Force,N/A,0,19,19
1946,Qtr 3,September,27,Brazil,Douglas,Douglas DC 3A,Rio Doce Brazil,Brasil do Panair,0,25,25
1946,Qtr 3,September,27,Stirlingshire,de Havilland 89A Dragon,de Havilland 89A Dragon RapideG AFFF,Near Milngavie Stirlingshire,Scotland Railway Air Service Ltd.,0,7,7
1946,Qtr 4,October,3,Newfoundland,Douglas,Douglas C 54E,Stephenville Newfoundland,Airlines Overseas American,0,39,39
1946,Qtr 4,October,6,Malaya,Avro 685 York,Avro 685 York 1MW125,Off Penang Malaya,Force Air -Royal Military,0,21,21
1946,Qtr 4,October,7,The,Fairey Firefly,Fairey Firefly MK1PP526,Apeldoorn The,Service Air Naval Netherlands Royal - NetherlandsMilitary,22,1,1
